Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,6.6,veh1,265.641,0,20.5427,26.5638
0,6.6,veh2,366.527,0,164.631,143.13
0,6.7,SmartAlec,68,0,-2,90
0,6.7,DumbAlec,100,0,-2,90
0,6.7,veh1,265.931,0,21.124,26.5638
0,6.7,veh2,366.911,0,164.119,143.13
0,6.8,SmartAlec,69,0,-2,90
0,6.8,DumbAlec,100,0,-2,90
0,6.8,veh1,266.227,0,21.7144,26.5638
0,6.8,veh2,367.301,0,163.599,143.13
0,6.9,SmartAlec,70,0,-2,90
0,6.9,DumbAlec,100,0,-2,90
0,6.9,veh1,266.526,0,22.3136,26.5638
0,6.9,veh2,367.697,0,163.071,143.13
0,7,SmartAlec,71,0,-2,90
0,7,DumbAlec,100,0,-2,90
0,7,veh1,266.83,0,22.9219,26.5638
0,7,veh2,368.099,0,162.535,143.13
0,7.1,SmartAlec,72,0,-2,90
0,7.1,DumbAlec,100,0,-2,90
0,7.1,veh1,267.139,0,23.539,26.5638
0,7.1,veh2,368.507,0,161.991,143.13
0,7.2,SmartAlec,73,0,-2,90
0,7.2,DumbAlec,100,0,-2,90
0,7.2,veh1,267.452,0,24.1651,26.5638
0,7.2,veh2,368.921,0,161.439,143.13
0,7.3,SmartAlec,74,0,-2,90
0,7.3,DumbAlec,100,0,-2,90
0,7.3,veh1,267.769,0,24.8002,26.5638
0,7.3,veh2,369.341,0,160.879,143.13
0,7.4,SmartAlec,75,0,-2,90
0,7.4,DumbAlec,100,0,-2,90
0,7.4,veh1,268.091,0,25.4442,26.5638
0,7.4,veh2,369.767,0,160.311,143.13
0,7.5,SmartAlec,76,0,-2,90
0,7.5,DumbAlec,100,0,-2,90
0,7.5,veh1,268.418,0,26.0971,26.5638
0,7.5,veh2,370.199,0,159.735,143.13
0,7.6,SmartAlec,77,0,-2,90
0,7.6,DumbAlec,100,0,-2,90
0,7.6,veh1,268.749,0,26.759,26.5638
0,7.6,veh2,370.637,0,159.151,143.13
0,7.7,SmartAlec,78,0,-2,90
0,7.7,DumbAlec,100,0,-2,90
0,7.7,veh1,269.084,0,27.4298,26.5638
0,7.7,veh2,371.081,0,158.559,143.13
0,7.8,SmartAlec,79,0,-2,90
0,7.8,DumbAlec,100,0,-2,90
0,7.8,veh1,269.424,0,28.1096,26.5638
0,7.8,veh2,371.531,0,157.959,143.13
