Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,9.2,SmartAlec,94,2,-2,2
0,9.2,veh1,274.652,0,38.5656,26.5638
0,9.2,veh2,378.461,0,148.719,143.13
0,9.3,SmartAlec,95,2,-2,2
0,9.3,veh1,275.059,0,39.3795,26.5638
0,9.3,veh2,379.001,0,147.999,143.13
0,9.4,SmartAlec,96,2,-2,2
0,9.4,veh1,275.47,0,40.2024,26.5638
0,9.4,veh2,379.547,0,147.27,143.13
0,9.5,SmartAlec,97,2,-2,2
0,9.5,veh1,275.886,0,41.0342,26.5638
0,9.5,veh2,380.099,0,146.534,143.13
0,9.6,SmartAlec,98,2,-2,2
0,9.6,veh1,276.306,0,41.875,26.5638
0,9.6,veh2,380.657,0,145.79,143.13
0,9.7,SmartAlec,99,2,-2,2
0,9.7,veh1,276.731,0,42.7247,26.5638
0,9.7,veh2,381.221,0,145.038,143.13
0,9.8,SmartAlec,100,2,-2,2
0,9.8,veh1,277.161,0,43.5834,26.5638
0,9.8,veh2,381.791,0,144.278,143.13
0,9.9,SmartAlec,101,2,-2,2
0,9.9,veh1,277.594,0,44.451,26.5638
0,9.9,veh2,382.367,0,143.51,143.13
0,10,SmartAlec,102,2,-2,2
0,10,veh1,278.033,0,45.3276,26.5638
0,10,veh2,382.949,0,142.734,143.13
0,10.1,SmartAlec,103,2,-2,2
0,10.1,veh1,278.475,0,46.2131,26.5638
0,10.1,veh2,383.537,0,141.95,143.13
0,10.1,veh0,12.1,0,-8,90
0,10.2,SmartAlec,104,2,-2,2
0,10.2,veh1,278.922,0,47.1075,26.5638
0,10.2,veh2,384.131,0,141.158,143.13
0,10.2,veh0,12.11,0,-8,90
0,10.3,SmartAlec,105,2,-2,2
0,10.3,veh1,279.374,0,48.0109,26.5638
0,10.3,veh2,384.731,0,140.358,143.13
0,10.3,veh0,12.13,0,-8,90
0,10.4,SmartAlec,106,2,-2,2
0,10.4,veh1,279.83,0,48.9232,26.5638
0,10.4,veh2,385.337,0,139.55,143.13
0,10.4,veh0,12.16,0,-8,90
0,10.5,SmartAlec,107,2,-2,2
0,10.5,veh1,280.291,0,49.8445,26.5638
0,10.5,veh2,385.949,0,138.734,143.13
0,10.5,veh0,12.2,0,-8,90
0,10.6,SmartAlec,108,2,-2,2
0,10.6,veh1,280.756,0,50.7747,26.5638
0,10.6,veh2,386.567,0,137.91,143.13
0,10.6,veh0,12.25,0,-8,90
0,10.7,SmartAlec,109,2,-2,2
0,10.7,veh1,281.226,0,51.7139,26.5638
0,10.7,veh2,387.191,0,137.078,143.13
0,10.7,veh0,12.31,0,-8,90
0,10.8,SmartAlec,110,2,-2,2
0,10.8,veh1,281.7,0,52.662,26.5638
0,10.8,veh2,387.821,0,136.238,143.13
0,10.8,veh0,12.38,0,-8,90
0,10.9,SmartAlec,111,2,-2,2
0,10.9,veh1,282.178,0,53.619,26.5638
0,10.9,veh2,388.458,0,135.39,143.13
0,10.9,veh0,12.46,0,-8,90
0,11,SmartAlec,112,2,-2,2
0,11,veh1,282.661,0,54.585,26.5638
0,11,veh2,389.1,0,134.534,143.13
0,11,veh0,12.55,0,-8,90
0,11.1,SmartAlec,113,2,-2,2
0,11.1,veh1,283.148,0,55.5599,26.5638
0,11.1,veh2,389.748,0,133.67,143.13
0,11.1,veh0,12.65,0,-8,90
0,11.2,SmartAlec,114,2,-2,2
0,11.2,veh1,283.64,0,56.5438,26.5638
0,11.2,veh2,390.402,0,132.798,143.13
0,11.2,veh0,12.75,0,-8,90
0,11.3,SmartAlec,115,2,-2,2
0,11.3,veh1,284.137,0,57.5366,26.5638
0,11.3,veh2,391.062,0,131.918,143.13
0,11.3,veh0,12.85,0,-8,90
0,11.4,SmartAlec,116,2,-2,2
0,11.4,veh1,284.638,0,58.5384,26.5638
0,11.4,veh2,391.728,0,131.03,143.13
0,11.4,veh0,12.95,0,-8,90
0,11.5,SmartAlec,117,2,-2,2
0,11.5,veh1,285.143,0,59.5491,26.5638
0,11.5,veh2,392.4,0,130.134,143.13
0,11.5,veh0,13.05,0,-8,90
0,11.6,SmartAlec,118,2,-2,2
0,11.6,veh1,285.653,0,60.5688,26.5638
0,11.6,veh2,393.078,0,129.23,143.13
0,11.6,veh0,13.15,0,-8,90
0,11.7,SmartAlec,119,2,-2,2
0,11.7,veh1,286.167,0,61.5974,26.5638
0,11.7,veh2,393.762,0,128.318,143.13
0,11.7,veh0,13.25,0,-8,90
0,11.8,SmartAlec,120,2,-2,2
0,11.8,veh1,286.686,0,62.635,26.5638
0,11.8,veh2,394.452,0,127.398,143.13
0,11.8,veh0,13.35,0,-8,90
0,11.9,SmartAlec,121,2,-2,2
0,11.9,veh1,287.209,0,63.6814,26.5638
0,11.9,veh2,395.148,0,126.47,143.13
0,11.9,veh0,13.45,0,-8,90
0,12,SmartAlec,122,2,-2,2
0,12,veh1,287.737,0,64.7369,26.5638
0,12,veh2,395.85,0,125.534,143.13
0,12,veh0,13.55,0,-8,90
0,12.1,SmartAlec,123,2,-2,2
0,12.1,veh1,288.269,0,65.8013,26.5638
0,12.1,veh2,396.558,0,124.59,143.13
0,12.1,veh0,13.65,0,-8,90
0,12.2,SmartAlec,124,2,-2,2
0,12.2,veh1,288.805,0,66.8746,26.5638
0,12.2,veh2,397.272,0,123.637,143.13
0,12.2,veh0,13.75,0,-8,90
0,12.3,SmartAlec,125,2,-2,2
0,12.3,veh1,289.347,0,67.9569,26.5638
0,12.3,veh2,397.992,0,122.677,143.13
0,12.3,veh0,13.85,0,-8,90
0,12.4,SmartAlec,126,2,-2,2
0,12.4,veh1,289.892,0,69.0481,26.5638
0,12.4,veh2,398.718,0,121.709,143.13
0,12.4,veh0,13.95,0,-8,90
0,12.5,SmartAlec,127,2,-2,2
0,12.5,veh1,290.442,0,70.1482,26.5638
0,12.5,veh2,399.45,0,120.733,143.13
0,12.5,veh0,14.05,0,-8,90
0,12.6,SmartAlec,128,2,-2,2
0,12.6,veh1,290.997,0,71.2573,26.5638
0,12.6,veh2,400.188,0,119.749,143.13
0,12.6,veh0,14.15,0,-8,90
0,12.7,SmartAlec,129,2,-2,2
0,12.7,veh1,291.556,0,72.3754,26.5638
0,12.7,veh2,400.932,0,118.757,143.13
0,12.7,veh0,14.25,0,-8,90
0,12.8,SmartAlec,130,2,-2,2
0,12.8,veh1,292.119,0,73.5024,26.5638
0,12.8,veh2,401.682,0,117.757,143.13
0,12.8,veh0,14.35,0,-8,90
0,12.9,SmartAlec,131,2,-2,2
0,12.9,veh1,292.687,0,74.6383,26.5638
0,12.9,veh2,402.438,0,116.749,143.13
0,12.9,veh0,14.45,0,-8,90
0,13,SmartAlec,132,2,-2,2
0,13,veh1,293.26,0,75.7832,26.5638
